,text,favourite_count,retweet_count,created_at
125,"...#transgenderrights &amp; sensitise people about the issues faced by #transgender persons.
Join us in the discussion.… https://t.co/DBIipgtHrA",0,0,2021-12-23 06:58:03+00:00
126,"...apart from basic amenities like #food and #medical aid, they provide #skill training to help members explore… https://t.co/bVCACGfqqG",1,0,2021-12-23 06:41:25+00:00
127,"RT @LgbtqIndia: From Abhijit To Abhina Aher, Here’s The Story Of A 45-Year-Old Transgender Activist - https://t.co/vs5igSHRfQ",0,0,2021-12-23 02:12:16+00:00
128,"RT @LgbtqIndia: Saudi Arabia: Anything other than male and female is against nature, rejects UN resolution on sexual orientation. https://t…",0,0,2021-12-22 21:16:35+00:00
129,"RT @LgbtqIndia: Noida has a Pride Station, but India still isn’t ready for transgender colleagues https://t.co/HrpuwJgVnP via @ThePrintIndia",0,0,2021-12-22 18:18:34+00:00
130,"Even with job opportunities coming their way, when will India be ready for transgender colleagues? #transgender… https://t.co/zmFn47nrbn",3,1,2021-12-22 17:01:40+00:00
131,@LgbtqIndia @IndiaToday Hi @ashmitadubey28,0,0,2021-12-22 14:51:16+00:00
132,"RT @LgbtqIndia: Noida has a Pride Station, but India still isn’t ready for transgender colleagues https://t.co/HrpuwJgVnP via @ThePrintIndia",0,0,2021-12-22 11:46:55+00:00
133,RT @LgbtqIndia: Murder of two Transgender Persons in Patna Triggers Protest in Community https://t.co/kPJGN7HrBq,0,0,2021-12-22 11:46:39+00:00
134,RT @LgbtqIndia: Murder of two Transgender Persons in Patna Triggers Protest in Community https://t.co/kPJGN7HrBq,0,0,2021-12-22 11:34:42+00:00
135,"... the benefits of #welfare schemes by the #government.
What's more? You don't have to visit any office for that.… https://t.co/RKA8vfMfhF",0,0,2021-12-22 10:29:52+00:00
136,"RT @LgbtqIndia: Noida has a Pride Station, but India still isn’t ready for transgender colleagues https://t.co/HrpuwJgVnP via @ThePrintIndia",0,0,2021-12-22 07:59:00+00:00
137,"RT @LgbtqIndia: Can straight men have deep, intimate, and emotionally-dependent friendships with other men? Yes, they can. Does it have to…",0,0,2021-12-22 07:55:41+00:00
138,"...are provided with #medical care, apart from expert advice for gender #transition #surgeries, &amp; #counselling supp… https://t.co/CT7pM8SQo2",1,0,2021-12-22 06:45:02+00:00
139,RT @LgbtqIndia: @Practo Here you go again. @Practo never learns from their past mistakes. Despite our repeated requests to disbar doctors o…,0,0,2021-12-22 05:55:25+00:00
140,"RT @nedricknews: 'पहले गे कपल' ने रचाई हैदराबाद में शादी, 8 सालों से कर रहे थे एक दूसरे को डेट! 

#Hyderabad #SocialMedia #ViralNews #Gay #…",0,0,2021-12-22 04:28:04+00:00
141,"RT @ExpressHumane: In a first, The Karnataka State Police has called for applications for the post of special reserve sub-inspector in KSRP…",0,0,2021-12-21 17:56:04+00:00
142,"RT @LgbtqIndia: Can straight men have deep, intimate, and emotionally-dependent friendships with other men? Yes, they can. Does it have to…",0,0,2021-12-21 14:20:19+00:00
143,We need pragmatic policy reforms to protect LGBTQIA+ folks from domestic violence in India. Sexuality and sexual or… https://t.co/uAgJmRItx0,0,0,2021-12-21 11:33:05+00:00
144,That's interesting to know. Let's target stright men 😂 https://t.co/2g5ql9FSTC,0,0,2021-12-21 11:27:39+00:00
145,"RT @LgbtqIndia: NCERT trans training manual removed from website wasn’t final, Centre to LS https://t.co/JaOr1z759B",0,0,2021-12-21 10:06:18+00:00
146,"RT @ExpressHumane: In a first, The Karnataka State Police has called for applications for the post of special reserve sub-inspector in KSRP…",0,0,2021-12-21 09:09:36+00:00
147,"RT @ExpressHumane: In a first, The Karnataka State Police has called for applications for the post of special reserve sub-inspector in KSRP…",0,0,2021-12-21 08:11:20+00:00
148,"RT @ExpressHumane: In a first, The Karnataka State Police has called for applications for the post of special reserve sub-inspector in KSRP…",0,0,2021-12-21 08:05:53+00:00
149,"RT @ExpressHumane: In a first, The Karnataka State Police has called for applications for the post of special reserve sub-inspector in KSRP…",0,0,2021-12-21 08:00:52+00:00
150,"In a first, The Karnataka State Police has called for applications for the post of special reserve sub-inspector in… https://t.co/e07ewVia19",4,5,2021-12-21 08:00:26+00:00
151,"RT @LgbtqIndia: From Abhijit To Abhina Aher, Here’s The Story Of A 45-Year-Old Transgender Activist - https://t.co/vs5igSHRfQ",0,0,2021-12-21 06:59:02+00:00
